date,open,close,high
19-03-2007,1000,947.8,1105
20-03-2007,957.8,942.39,957.8
21-03-2007,948,945.67,948.5
22-03-2007,950,950.15,951.9
23-03-2007,950,947.18,951
26-03-2007,945,940.71,945
28-03-2007,944.98,943.65,948
29-03-2007,944.86,946.9,948.45
30-03-2007,948,947.05,948
02-04-2007,950,944.82,951.4
03-04-2007,945.82,940.38,945.95
04-04-2007,941,939.62,941
05-04-2007,949,946.37,949
09-04-2007,945.1,945.83,947
10-04-2007,945.83,948.79,952.98
11-04-2007,937.1,948.89,950.5
12-04-2007,949.99,948.18,951
13-04-2007,948,948.41,950.99
16-04-2007,952,949.41,958
17-04-2007,949.41,943.37,957.5
18-04-2007,941.51,946.23,947.89
19-04-2007,954.4,951.35,965
20-04-2007,969.95,946.9,969.95
23-04-2007,947.01,946.2,952.4
24-04-2007,946.2,934.51,946.5
25-04-2007,935,928.09,937
26-04-2007,930,921.87,930
27-04-2007,920,910.08,920
30-04-2007,919.89,921.58,924
03-05-2007,921,914.63,921
04-05-2007,918,917.15,918.6
07-05-2007,939.97,920.8,939.97
08-05-2007,921,921.26,924
09-05-2007,920,921.3,924
10-05-2007,921.3,916.08,921.5
11-05-2007,895,907.5,915
14-05-2007,912,908.3,912
15-05-2007,904,898.07,905
16-05-2007,898.07,901.55,914.45
17-05-2007,887,890.62,895
18-05-2007,890,888.93,890
21-05-2007,888,885.22,889.94
22-05-2007,888,885.44,888
23-05-2007,883.15,879.76,884.95
24-05-2007,885,882.09,885
25-05-2007,877,875.39,879
28-05-2007,877,875.84,877
29-05-2007,875.84,876.74,882.2
30-05-2007,876.74,878.8,880.99
31-05-2007,879.99,878.85,881.98
01-06-2007,878.85,883.69,887
04-06-2007,883.69,889.31,891.92
05-06-2007,894.7,892.78,896.99
06-06-2007,894.95,895.91,896.78
07-06-2007,980,894.27,980
08-06-2007,889,885.35,894
11-06-2007,890,877.06,890
12-06-2007,878.9,874.96,878.9
13-06-2007,874,868.68,874.5
14-06-2007,877.99,874.3,877.99
15-06-2007,882,874.72,882
18-06-2007,870.55,881.32,882
19-06-2007,881,877.56,881
20-06-2007,915,882.03,915
21-06-2007,880.1,876.58,880.99
22-06-2007,876,872.82,876
25-06-2007,872.82,874.18,877.89
26-06-2007,875.25,869.99,875.55
27-06-2007,869.99,863.91,869.99
28-06-2007,863.05,866.79,869.3
29-06-2007,869.25,868.52,871.99
01-01-2008,1060,1062.56,1064.95
02-01-2008,1050,1061.73,1063.65
03-01-2008,1060,1082.5,1085.75
04-01-2008,1082.5,1081.76,1095
07-01-2008,1078,1082.7,1090
08-01-2008,1085,1092.17,1093.9
09-01-2008,1100,1116.8,1120
10-01-2008,1135,1111.41,1135
11-01-2008,1115.4,1125,1132
14-01-2008,1130,1156.66,1162.9
15-01-2008,1160,1155.91,1164
16-01-2008,1294,1117.4,1294
17-01-2008,1115,1121.24,1129.64
18-01-2008,1128,1113.76,1128
21-01-2008,1110.05,1104.06,1143.9
22-01-2008,1050,1089.93,1100
23-01-2008,1051.2,1130.56,1138
24-01-2008,1130.1,1133.13,1175
25-01-2008,1130,1161.15,1170
28-01-2008,1130.1,1160.53,1173.9
29-01-2008,1175,1170.83,1175
30-01-2008,1165,1173.63,1180
31-01-2008,1179.95,1179.76,1186
01-02-2008,1171,1179.78,1184
04-02-2008,1177.72,1161.39,1178
05-02-2008,1160.2,1142.66,1163
06-02-2008,1145.25,1154.59,1159.17
07-02-2008,1162.88,1162.99,1167.69
08-02-2008,1162,1170.17,1174.9
11-02-2008,1165,1184.84,1190.05
12-02-2008,1190,1168.6,1190
13-02-2008,1182.5,1163.07,1182.5
14-02-2008,1152,1163.45,1174
15-02-2008,1163,1165.09,1176.7
18-02-2008,1165,1166.04,1170
19-02-2008,1172.8,1169.83,1172.8
20-02-2008,1193,1185.07,1194.99
21-02-2008,1195,1206.42,1210
22-02-2008,1220,1211.43,1228.7
25-02-2008,1205,1234.27,1249
26-02-2008,1235.3,1208.66,1235.3
27-02-2008,1245,1234.11,1263.59
28-02-2008,1234.3,1235.34,1238
29-02-2008,1239.34,1249.29,1255
03-03-2008,1260,1289.53,1294
04-03-2008,1299.98,1289.21,1305
05-03-2008,1281,1269.01,1281
07-03-2008,1275,1303.4,1311
10-03-2008,1300,1286.78,1304.9
11-03-2008,1286.78,1280.85,1286.78
12-03-2008,1280.85,1264.12,1293.75
13-03-2008,1276,1295.84,1300
14-03-2008,1301.05,1306.2,1314.88
17-03-2008,1330,1358.93,1380
18-03-2008,1355,1324.33,1355
19-03-2008,1310,1299.4,1310
24-03-2008,1250,1194.98,1250
25-03-2008,1215,1202.82,1215
26-03-2008,1210,1214.96,1230
27-03-2008,1242.98,1220.2,1245
28-03-2008,1242,1221.22,1242
31-03-2008,1215,1216.94,1220
01-04-2008,1200,1167.69,1209.8
02-04-2008,1150,1160.07,1174
03-04-2008,1170,1171.13,1188
04-04-2008,1180,1176.84,1181
07-04-2008,1189.9,1178.63,1192
08-04-2008,1191,1198.86,1210
09-04-2008,1198.86,1175.11,1198.86
10-04-2008,1200,1204.36,1209.85
11-04-2008,1200,1195.94,1201.89
15-04-2008,1205,1201.93,1211
16-04-2008,1200,1215.09,1225
17-04-2008,1215,1238.87,1243.11
21-04-2008,1192,1196.38,1211.5
22-04-2008,1214.5,1193.83,1214.5
23-04-2008,1199,1194.3,1204.99
24-04-2008,1194.3,1168.19,1194.3
25-04-2008,1168.19,1160.11,1174.9
28-04-2008,1168,1170.31,1174
29-04-2008,1164,1168.61,1178.9
30-04-2008,1161.1,1152.03,1161.1
02-05-2008,1151,1140.42,1151
05-05-2008,1140.01,1139.68,1150
06-05-2008,1141,1167.79,1170
07-05-2008,1189,1178.05,1190
08-05-2008,1188.97,1178.09,1188.97
09-05-2008,1180,1189.3,1192.4
12-05-2008,1185,1187.57,1191.99
13-05-2008,1190.45,1186.47,1195
14-05-2008,1190,1186.03,1190
15-05-2008,1192.45,1187.83,1192.45
16-05-2008,1195.5,1208.48,1210
20-05-2008,1210.05,1239.65,1243.45
21-05-2008,1250,1274.09,1279.9
22-05-2008,1285,1281.18,1302.68
23-05-2008,1256,1278.32,1280
26-05-2008,1270,1270.65,1295
27-05-2008,1271,1282.51,1287
28-05-2008,1265.6,1236.52,1265.6
29-05-2008,1224.15,1246.72,1264.7
30-05-2008,1211,1214.08,1225
02-06-2008,1214.08,1218.65,1227.9
03-06-2008,1219,1238.23,1240.9
04-06-2008,1230,1215.49,1230
05-06-2008,1207,1212.38,1222.1
06-06-2008,1210,1221.59,1225
